Own or Ren,Name of ap,Number of,Is the roo,Cost of re,Is parking,Cost of pa,How satisf,Comments o,Comments_1,Any final,NA_ID
Rent,,"2",No,"750",No,,"5",Great location if you're outgoing and want easy access to the square and all of the events in the area. I've always felt safe in the area. Great bus routes. Farmers market on the square every week in the spring/summer/fall.,,"Make sure you have an easy commute to the hospital. Biking makes most everywhere accessible, but it's not an option in the winter. I love living downtown and being nearby the square.","14"
Rent,The Mifflander Apartments,"2",Yes,"630",Yes,"125","5","Easy access to bus routes. 15 min bus ride to WIMR or a 15 min bike ride  along lakeshore path. Walking distance to basically anything downtown (including both lakes, campus, and several grocery stores). Parking is expensive but having a car isn't a nece","Building (owned by MDC) bases rent on income, so it's great on a graduate student stipend. Pet friendly. Parking is expensive.","You don't need to choose your housing based on distance from WIMR - the bus system in Madison is extremely reliable, even during snow storms.","14"
Rent,Capital Centre Court Apartments,"2",No,"775",Yes,"150","5","Great access to bus routes. Close to the Terrace, Capitol, State St, Camp Randall, campus gyms, and anything else downtown/central campus.",,,"14"
Rent,Domain,"2",No,"1100",Yes,"150","4",Easy access to bus routes.,"Bus route right across street. Great location, not too undergraddy, but on the expensive side.","Don't be afraid to live downtown if you need access to facilities on the west side; buses make it really easy. Watch out for newer developments that are heavily undergraddy if you're trying to avoid that.","14"
Rent,Domain,"2",Yes,"1000",Yes,"150","5",,,,"14"
Rent,Calimar Apartments,"0",No,"600",Yes,"100","4","Walkable to Capitol Centre Market for groceries, but I wouldn't want to haul too much. Access to many bus routes. Short walk to the terrace and right by the Capitol square. Noisy.","On bus routes 10/28, half a mile walk to the 80, a few blocks from the 2. There are fraternaties close by, so it can get loud at times.",,"14"
Rent,Ovation 309,"1",No,"1400",Yes,"200","3",Very close to work and downtown!!,"Fun location, but expensive. Parking costs a lot.",,"14"
Rent,Eagle Heights,"2",Yes,"450",Yes,Included,"4",Close to WIMR. Really quiet.,Utilities are really old.,,"21"
Rent,Eagle Heights,"2",No,"460",Yes,Included,"4",Easy access to the free 80 bus. Far from restaurants/grocery store. 20 min walk from WIMR.,"Most utilities, cable, and internet included. NO PETS :-(. Needs A/C during summer months, unit not provided.","Find a good fit for you - If you're studious, live near WIMR - If you like to party/the nightlife, live downtown/main campus area.","21"
Rent,Eagle Heights,"1",No,"820",Yes,Included,"4",Everything in the area is nice.,It's gotten more expensive lately so it's not as affordable.,,"21"
Rent,,"2",Yes,"570",Yes,Included,"3","Quality is low, but the location is key.",,"Get a roommate if at all possible to save on rent. Avoid the luxury apartments (they've built a ton in recent years). Know that the UW offers food assistance to students through an on campus food pantry (The Open Seat), which can add ~$200 to your monthl","21"
Rent,Eagle Heights,"1",Yes,"814",Yes,Included,"5",Access to bus routes. In close proximity to WIMR. Neighborhood environment.,,,"21"
Rent,Eagle Heights,"2",Yes,"474",Yes,Included,"4",80 Bus route goes through the area frequently. All graduate students/student families in the area and everyone is very respectful. Beautiful area right near the lake with several trails. Very diverse neighborhood of international students.,"All graduate student/student family within the area; everyone is very respectful. Access to child daycare services. Limited amenities, including shared washers/dryers and no dishwashers. Older apartment buildings with some minor issues during the winter",Plan meals ahead of time. Rooming together with others can make rent in Madison more reasonable.,"21"
Rent,Eagle Heights,"2",Yes,"425",Yes,Included,"4","Eagle Heights is the UW student apartments close to WIMR, Picnic Point, and on the 80 bus route. The apartments were good quality but somewhat small, which is why we rented a two bedroom apartment for have extra space. The main reason we moved was to fin",,,"21"
Rent,,"1",Yes,"1200",Yes,Included,"4","It's a relaxed neighborhood with great dog parks, bike paths, and bus routes. The only downside is the commute - about 45 minutes each way by bus (or 15 minutes driving, if you pay for on campus parking).",,"I may be an outlier, but I really like the east side of Madison despite the longer commute - there's a lot more going on and fewer undergrads. If you live on the far east side you'll almost certainly need a car to get around town and run errands.","25"
Rent,Parkwood Arms Apartments,"1",No,"693",Yes,Included,"4",Has bus access. Nearby West Towne Mall.,Cheap but no fancy amenities,Stay north of the beltline and west of capitol.,"29"
Rent,,"4",No,"600",No,,"4",Right by the Memorial Union. Close walk to everything downtown and cheap.,,Living downtown is not as expensive as most people think! I live downtown for cheaper than all of my lab friends that live in the suburbs pay.,"44"
Rent,University Square Apartments,"1",No,"820",Yes,"130","4",In the heart of the campus area. Right on the bus line to pretty much anywhere in Madison.,Right on the bus line to pretty much anywhere in Madison.,,"44"
Rent,The James,"0",No,"1095",Yes,"250","4","Perfect location, but it's getting tough to live around loud and messy undergrads.","Perfect location and amazing amenities but it's getting tough to live around loud and messy undergrads. Having lived all around Madison in the dumpiest houses and shared bedrooms/apartments with strangers and best firends, I've come to value a clean plac","Regardless of what anyone from out of state says, downtown Madison is ridiculously expensive for Wisconsin. Most of my friends have roommates or live in a shared bedroom with a significant other to cut down on rent costs. I've never had a car here and fo","44"
Rent,Equinox,"0",No,"1195",Yes,"175","3",,"This building is filthy and terribly managed by MPM - they misplace your packages, human feces in the lobby, Someone tried to get into my apartment at 3am, and street people get drunk behind the building. Do not live here.",,"44"
Rent,La Ville,"2",No,"800",Yes,"100","5",,,,"44"
Rent,,"2",No,"625",Yes,Included,"4","Very close to a direct bus route (38), but it stops running at 6:30 pm, which is inconvenient. Bus ride is about 35 minutes, which I find too long. Love the neighborhood and environment. Very close to restaurants/bars. Surrounded by families. Not easy to",,"Balance of location and price and how convenient you want the commute to be - also, get a bike.","49"
Rent,,"2",Yes,"625",Yes,Included,"4",Really love the area. Housing can be extremely nice for the price (parking included without permit or alternate side street parking!). It takes 35 minutes on the bus to get to campus however which can be long sometimes.,,,"49"
Rent,,"2",No,"400",No,,"4","Safe, easy bus access, and near parks.",,,"53"
Rent,Keystone Apartments,"1",Yes,"1300",Yes,"150","5",Close to WIMR.,"This is a super expensive place, but it's nice, pet-friendly, and close to WIMR.",I feel like the apartments on Sheboygan Ave are good for incoming students without a pet.,"71"
Rent,,"4",No,"650",Yes,Included,"5",I appreciate living within walking distance and along a direct bus route to WIMR.,,"Try to visit apartments in person before moving in since pictures and potential roommates can gloss over details and sell the living situation in the most positive manner possible. As a first year, you may spend some long nights at WIMR so it's nice to l","71"
Rent,Birge House Apartments,"1",No,"950",Yes,"100","4",Very close to hospital.,,,"71"
Rent,University Bay Apartments,"1",No,"700",Yes,"100","4",Easy bike or walking distance. Lakeshore path just a short walk away and there is a bikepath nearby. The Blue Moon is right down the street and Camp Randall is close by for gamedays.,Right on University Ave and on buslines that go directly to WIMR.,,"71"
Rent,University Gables,"1",Yes,"900",Yes,"90","4",Perfectly located between main campus and WIMR. On bus route.,,,"71"
Rent,,"1",No,"715",No,,"4","The location is great - close to the hospital and good bus connections, so you don't need a car. Reasonably quiet at night, with picnic point nearby to go de-stress after work. Many of the apartments around here are tiny studios that are very dated. If y",,,"71"
Rent,University Bay Apartments,"1",No,"650",Yes,"90","3",Commuting was incredibly easy.,"The studio was small and the appliances were quite dated, but it was cheap and really close to the hospital.",,"71"
Rent,,"3",No,"500",Yes,"25","5",Great neighborhood for grad students and there were a bunch of us in the area.,,,"71"
Rent,Farley Arms Apartments,"2",No,"525",Yes,"20","5",Very close to UW hospital!,Very close to UW hospital!,,"71"
Rent,Casa Blanca,"1",No,"920",Yes,"100","2",Very close to hospital and bus lines.,I didn't like Goldleaf as a management company. The fire alarm went off at 2 am at least once a month.,,"71"
Rent,Sauk Creek Apartment,"2",Yes,"650",Yes,Included,"4","A little far, very nice neighborhood, had a bus route.",,,"76"
Rent,Sauk Creek Apartment,"1",Yes,"450",Yes,Included,"4","Right on a bus route, however the weekly commute added up (~5 hrs on a bus per week). Neighborhood is becoming more expensive.","Becoming more expensive; equivalent bedroom is now $100 more in the span of 2 years.",,"76"
Own,Hickory Hollow condominiums,,,,,,"5",Great bus route.,,,"87"
Rent,,"2",Yes,"710",Yes,Included,"5",,,"I would try to live in the Kendall neighborhood as you can usually walk to class/work. Vilas area is a nice neighborhood and not too far away. Towards the east side, the WIlly St neighborhood is an awesome place to work and the restaurants, etc can outwe","87"
Rent,Harbor Arms Apartments,"1",No,"700",Yes,Included,"4","Access to buses that drops off at University Bay Dr, which is about a 10 minute walk from the hospital.","These apartments are being remodeled and are under new ownership, so the reviews online are not fully reflective of the current status.",I would suggest living close to a bus line so that you can easily get around campus/ to work during the week.,"87"
Rent,,"2",No,"500",Yes,Included,"4",Neighborhood has quick access to two grocery stores and numerous bus routes on University.,,,"90"
Rent,Norris Court Apartments,"2",Yes,"675",Yes,"50","5",Access to bus routes. Neighborhood environment. Grocery store and lakes nearby.,,,"92"
Rent,,"0",No,"775",Yes,Included,"5","Large studio apartments available that allow cats. Access to bus routes 2, 10, and 28. Short walk to Festival (grocery store). Quiet neighborhood that's close to Lake Mendota, near two parks.",,"Living downtown is fun and convenient if you like to go out. I like living slightly east of the capitol where the area is quiter, but I can still walk to the farmer's market and restaurants.","92"
Rent,Norris Court Apartments,"1",Yes,"820",Yes,"65","3","Nearby bus lines on Gorham/Johnson. 20 minute commute to WIMR by bus and a 20 minute walk from Capitol square. More urban than suburban, some noise on weekends, especially during concerts at Breese-Stevens. Most renters in the area were grad students and","Most other renters were grad students and young professionals. More urban than suburban, some noise on weekends, especially during concerts at Breese-Stevens.",,"92"
Rent,,"3",No,"550",Yes,"50","4","30 min commute via bus (2, 10, and 28 go straight to WIMR). Great restaurants, coffee shops, and bars nearby, and a short bus ride to the capitol square. One downside is that the neighborhood is nearly entirely older houses that have been converted into",,,"92"
Rent,Galaxie High Rise Apartments,"1",No,"1500",Yes,"150","3",,,,"92"
Rent,Dayton Place Apartments,"2",No,"650",No,,"4","Close to the engineering campus and Union South. A bit far removed from grocery stores, unless you count the Kwik Trip. Football gamedays were loud.",No parking.,,"123"
Own,Holborn Village condominiums,,,,,,"5",I drive into work and pay for parking at the hospital.,,"If you're willing to room with someone, I think that is the best option. Gind a place directly on a bus route to the hospital.","143"
Rent,,"2",Yes,"600",Yes,Included,"5",Close to major bus routes on University. 10 minute walk to WIMR. Neighborhood is mostly families or older people. Very suburban and quiet on weekends.,,,"157"
Rent,,"1",Yes,"950",Yes,Included,"3","Very close to WIMR, bus routes, grocery stores, etc.",,There are a lot of great areas to live in Madison and apartment prices are pretty dependent on how far the location is from campus/downtown. Parking permits for the lots near WIMR can be expensive and tough for students to get since they cater to UW Hosp,"157"
Rent,Harvey Street Apartments,"2",Yes,"492",Yes,"25","5",,,,"157"
Rent,Harvey Street Apartments,"2",No,"472.5",Yes,"25","4",Great location.,Great location but poor soundproofing.,Uncovered parking is certainly an issue in the winter.,"157"
Rent,Les Chateaux Apartments,"3",Yes,"350",Yes,Included,"5",Close to WIMR,,,"157"
Rent,Heathercrest Apartments,"2",Yes,"550",Yes,Included,"4",Great for commuting during the weekdays but too far to come in on weekends without a car.,"It had free laundry in the basement, dishwasher, and garage.",,"77"
Own,Harbor House Condominiums,,,,,,"5",Not close to a bus line.,,,"169"
